1	0.77044
2	0.77044
3	0.76235
4	0.75681
5	0.75426
6	0.74361
7	0.74744
8	0.74233
9	0.73935
10	0.73382
11	0.73680
12	0.72956
13	0.72445
14	0.72359
15	0.72445
16	0.72402
17	0.72061
18	0.71848
19	0.71763
20	0.70954
21	0.70869
22	0.70358
23	0.70273
24	0.70187
25	0.69889
26	0.69761
27	0.69463
28	0.68867
29	0.68782
30	0.68228
31	0.68015
32	0.67888
33	0.67462
34	0.67121
35	0.66780
36	0.66440
37	0.66141
38	0.65928
39	0.65460
40	0.65417
41	0.65119
42	0.64864
43	0.64480
44	0.64182
45	0.64012
46	0.63884
47	0.63799
48	0.63501
49	0.63416
50	0.63118
