131	0.0000	1
130	0.0000	2
137	0.0000	1
136	0.0000	5
134	0.0000	4
21	0.0000	3
22	0.0000	1
8	0.0000	2
58	0.0000	1
55	0.0000	1
54	0.0000	1
56	0.0000	2
50	0.0000	1
53	0.0000	2
177	0.0000	3
100	0.0000	5
33	0.0000	17
32	0.0000	9
35	0.0000	3
34	0.0000	4
67	0.0000	2
175	0.0000	3
170	0.0000	1
183	0.0000	1
2	0.0000	5
167	0.0000	1
168	0.0000	1
91	0.0000	6
10	0.0000	1
19	0.0000	1
154	0.0000	1
48	0.0000	1
47	0.0000	1
144	0.0000	5
145	0.0000	1
142	0.0000	1
141	0.0000	1
76	0.0000	1
74	0.0000	1
73	0.0000	1
72	0.0000	1
79	0.0000	1
31	0.0455	22
30	0.0769	39
46	0.1429	7
116	0.1667	6
185	0.1842	38
129	0.2000	5
133	0.2500	4
106	0.2857	14
4	0.3333	3
110	0.3333	6
189	0.3333	3
17	0.3333	3
153	0.3333	3
104	0.4000	5
176	0.4000	5
128	0.4286	7
111	0.4667	15
25	0.5000	4
26	0.5000	10
163	0.5000	4
126	0.5000	2
190	0.5000	2
109	0.5000	2
62	0.5000	2
64	0.5000	4
66	0.5000	2
171	0.5000	2
70	0.5000	2
112	0.5714	7
132	0.6000	5
191	0.6000	5
102	0.6000	5
61	0.6000	5
139	0.6154	13
45	0.6154	13
146	0.6296	27
97	0.6471	17
127	0.6667	6
178	0.6667	3
88	0.6667	6
87	0.6667	3
7	0.6667	6
107	0.6667	3
60	0.6667	6
180	0.6667	3
96	0.6667	9
13	0.6667	3
12	0.6667	3
150	0.6667	3
156	0.6667	3
1	0.6774	31
108	0.7143	7
89	0.7333	15
165	0.7500	4
29	0.7500	4
24	0.7667	30
101	0.8000	5
95	0.8095	21
172	0.8205	39
15	0.8333	6
90	0.8689	61
152	0.8750	48
115	0.8889	9
65	0.8889	9
151	0.8889	9
0	0.8954	755
94	0.9207	227
149	0.9516	62
80	0.9643	28
193	0.9722	36
114	0.9836	122
138	1.0000	1
166	1.0000	1
27	1.0000	3
160	1.0000	2
28	1.0000	9
119	1.0000	3
120	1.0000	5
121	1.0000	12
122	1.0000	5
123	1.0000	5
124	1.0000	4
125	1.0000	11
118	1.0000	3
59	1.0000	1
164	1.0000	4
179	1.0000	2
192	1.0000	2
113	1.0000	10
82	1.0000	6
83	1.0000	12
81	1.0000	47
86	1.0000	19
84	1.0000	6
85	1.0000	6
3	1.0000	3
103	1.0000	3
105	1.0000	7
39	1.0000	1
36	1.0000	1
63	1.0000	2
68	1.0000	1
69	1.0000	2
174	1.0000	4
173	1.0000	1
181	1.0000	2
182	1.0000	7
187	1.0000	51
184	1.0000	1
186	1.0000	2
188	1.0000	17
99	1.0000	1
98	1.0000	2
93	1.0000	7
92	1.0000	2
14	1.0000	6
16	1.0000	15
117	1.0000	1
157	1.0000	7
159	1.0000	3
158	1.0000	1
49	1.0000	1
44	1.0000	1
40	1.0000	23
41	1.0000	1
147	1.0000	11
148	1.0000	5
77	1.0000	3
75	1.0000	1
71	1.0000	1
78	1.0000	1
